                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     70,                 1.8388,                 2.1885,                 1.1723,                0.86211,                0.98771,                      1,                  0.995,                 0.2848,                0.81974,                0.83333,                0.79033,                0.26942,                 2.3202,                 2.1339,                 1.1778,                 1.0424,              0.0006338,              0.0006338,              0.0006338
                     71,                 2.0443,                 1.8617,                 1.1343,                0.89987,                0.99346,                      1,                  0.995,                 0.2865,                0.99346,                      1,                  0.995,                0.22288,                 2.2364,                 2.2122,                 1.1138,                 1.0343,               0.000614,               0.000614,               0.000614
                     72,                 2.0573,                 2.1268,                  1.168,                 0.9049,                 0.9801,                0.83333,                  0.843,                0.29776,                 0.5843,                    0.5,                0.44929,                 0.1605,                 2.3914,                  2.418,                 1.1483,                 1.0426,              0.0005942,              0.0005942,              0.0005942
                     73,                 1.9179,                 2.0637,                 1.0686,                0.88853,                0.99662,                      1,                  0.995,                0.34628,                0.56087,                0.64203,                0.46715,                0.14204,                 2.4634,                 2.3795,                 1.1588,                 1.0593,              0.0005744,              0.0005744,              0.0005744
                     74,                 2.0039,                 2.0819,                 1.1809,                0.90539,                0.99687,                      1,                  0.995,                0.33981,                0.85398,                0.97784,                0.97214,                0.21168,                  2.377,                 2.2012,                 1.1733,                 1.0413,              0.0005546,              0.0005546,              0.0005546
                     75,                 1.9805,                 1.9632,                 1.1721,                0.90011,                 0.8278,                0.83333,                0.84841,                0.37348,                 0.8278,                0.83333,                0.84841,                0.21921,                 2.2287,                 2.0174,                 1.0775,                 1.0316,              0.0005348,              0.0005348,              0.0005348
                     76,                 1.9951,                 2.2356,                 1.0952,                0.88645,                      1,                0.99641,                  0.995,                 0.3563,                0.70265,                0.83333,                0.68795,                0.20761,                 2.2266,                  1.931,                 1.0863,                 1.0106,               0.000515,               0.000515,               0.000515
                     77,                  1.955,                   2.14,                 1.1174,                0.88247,                      1,                0.99008,                  0.995,                0.33925,                0.84415,                      1,                0.94786,                0.25496,                 2.2251,                 1.9691,                 1.0836,                 1.0127,              0.0004952,              0.0004952,              0.0004952
                     78,                 1.7841,                 1.7911,                 1.0496,                0.89091,                0.98831,                      1,                  0.995,                0.32148,                0.49161,                    0.5,                0.36409,                0.14368,                 2.1569,                 2.0237,                 1.0499,                 1.0059,              0.0004754,              0.0004754,              0.0004754
                     79,                 1.7849,                 1.9841,                 1.1241,                 0.8575,                0.98803,                      1,                  0.995,                0.29987,                0.65682,                0.66667,                0.55278,                 0.2037,                 2.0577,                  1.977,                 1.0321,                 1.0102,              0.0004556,              0.0004556,              0.0004556
                     80,                 1.9117,                 2.1117,                 1.0985,                0.88725,                0.98765,                      1,                  0.995,                0.30036,                 0.8215,                0.83333,                   0.86,                0.21698,                 2.1914,                 1.9657,                 1.0517,                 1.0088,              0.0004358,              0.0004358,              0.0004358
                     81,                 1.9099,                 2.0137,                0.97559,                0.88553,                0.82131,                0.83333,                0.79607,                0.23051,                0.25787,                    0.5,                0.41721,                0.14506,                  2.378,                 2.0336,                 1.0838,                 1.0261,               0.000416,               0.000416,               0.000416
                     82,                 1.9825,                 1.8236,                 1.1113,                0.89686,                      1,                0.65848,                0.69089,                0.25327,                0.76476,                0.66667,                0.76925,                0.19227,                 2.4168,                 1.9428,                 1.0915,                 1.0157,              0.0003962,              0.0003962,              0.0003962
                     83,                 1.7835,                 1.9367,                 1.0898,                0.88018,                0.82391,                0.83333,                0.82178,                0.26729,                  0.709,                0.81482,                0.79417,                0.19023,                  2.339,                 1.8426,                 1.0693,                 0.9968,              0.0003764,              0.0003764,              0.0003764
                     84,                 1.8691,                 2.0526,                 1.1305,                0.89741,                0.99087,                      1,                  0.995,                0.33327,                0.62532,                    0.5,                 0.5606,                0.13101,                 2.2117,                 1.8214,                   1.01,                  1.002,              0.0003566,              0.0003566,              0.0003566
                     85,                  1.779,                  1.924,                  1.031,                0.84741,                 0.9906,                      1,                  0.995,                0.34356,                0.65623,                0.66667,                0.58997,                0.15351,                  2.186,                 1.7758,                 1.0123,                0.99274,              0.0003368,              0.0003368,              0.0003368
                     86,                 1.7982,                 1.9735,                 1.0472,                0.85881,                0.99096,                      1,                  0.995,                0.38055,                0.65623,                0.66667,                0.57965,                0.15139,                 2.1931,                 1.8301,                 1.0619,                0.99899,               0.000317,               0.000317,               0.000317
                     87,                 1.7123,                 1.5994,                0.96111,                 0.8741,                0.99258,                      1,                  0.995,                0.34048,                0.65673,                0.66667,                0.52966,                0.15945,                 2.2091,                 1.9452,                 1.0778,                 0.9885,              0.0002972,              0.0002972,              0.0002972
                     88,                 1.6675,                 1.8228,                0.96098,                 0.8723,                0.99333,                      1,                  0.995,                0.31397,                0.65669,                0.66667,                0.50952,                0.15181,                 2.2015,                 2.0074,                  1.105,                0.99006,              0.0002774,              0.0002774,              0.0002774
                     89,                  1.772,                 1.8903,                 1.0077,                0.86111,                0.99154,                      1,                  0.995,                0.30485,                0.82321,                0.83333,                0.82441,                0.19184,                  2.185,                 1.9303,                 1.0813,                 0.9987,              0.0002576,              0.0002576,              0.0002576
                     90,                 1.7025,                 1.6019,                0.98302,                0.86418,                0.98937,                      1,                  0.995,                0.31452,                0.82178,                0.83333,                0.82441,                0.19459,                 2.2372,                 1.8851,                 1.0648,                 1.0064,              0.0002378,              0.0002378,              0.0002378
                     91,                  1.656,                 1.6768,                0.96029,                0.89022,                0.99004,                      1,                  0.995,                0.31452,                0.82246,                0.83333,                0.82441,                0.19459,                 2.2453,                  1.864,                 1.0662,                 1.0045,               0.000218,               0.000218,               0.000218
                     92,                 1.6642,                 1.9849,                0.97474,                  0.883,                0.99159,                      1,                  0.995,                0.30542,                0.82384,                0.83333,                0.82707,                0.21429,                 2.2773,                 1.8484,                 1.0922,                 1.0017,              0.0001982,              0.0001982,              0.0001982
                     93,                 1.6227,                  1.726,                 0.9678,                0.87669,                0.99281,                      1,                  0.995,                0.31704,                0.93451,                0.66667,                0.79272,                0.19877,                 2.2859,                 1.8324,                 1.1064,                 1.0001,              0.0001784,              0.0001784,              0.0001784
                     94,                 1.7045,                 1.9036,                  1.072,                0.87622,                0.99301,                      1,                  0.995,                0.30473,                      1,                0.66515,                0.79068,                0.18738,                 2.2626,                 1.8634,                 1.1102,                 1.0005,              0.0001586,              0.0001586,              0.0001586
                     95,                 1.6503,                 1.9576,                 1.0224,                0.86728,                0.99341,                      1,                  0.995,                0.29337,                0.76862,                0.66667,                0.75499,                0.16313,                 2.2916,                  1.837,                 1.1324,                 1.0047,              0.0001388,              0.0001388,              0.0001388
                     96,                  1.628,                 1.9461,                0.96036,                0.88894,                0.99317,                      1,                  0.995,                0.28514,                0.76936,                0.66667,                0.75425,                0.16255,                 2.2744,                 1.7778,                 1.1132,                 1.0063,               0.000119,               0.000119,               0.000119
                     97,                 1.6153,                 1.6417,                 0.9695,                0.87241,                0.99279,                      1,                  0.995,                0.30703,                0.82495,                0.83333,                0.79465,                0.17081,                 2.2811,                 1.7698,                 1.1295,                 1.0093,               9.92e-05,               9.92e-05,               9.92e-05
                     98,                 1.7992,                  1.685,                0.99626,                0.90098,                0.99111,                      1,                  0.995,                0.31294,                0.82376,                0.83333,                 0.7929,                0.19637,                 2.3178,                  1.784,                 1.1612,                 1.0078,               7.94e-05,               7.94e-05,               7.94e-05
                     99,                 1.6533,                 1.9176,                0.93413,                0.88798,                0.99101,                      1,                  0.995,                0.32399,                0.82372,                0.83333,                 0.7924,                 0.1957,                 2.3246,                 1.7854,                  1.207,                 1.0153,               5.96e-05,               5.96e-05,               5.96e-05
                    100,                 1.7325,                 1.6015,                 1.0712,                 0.9069,                0.99036,                      1,                  0.995,                0.31582,                0.82352,                0.83333,                0.76574,                0.19028,                 2.3349,                 1.7919,                 1.2148,                  1.016,               3.98e-05,               3.98e-05,               3.98e-05
