                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     79,                 2.1256,                 1.9457,                 1.1109,                0.89287,                0.87949,                0.66667,                0.73808,                0.24597,                0.98845,                      1,                  0.995,                0.25758,                 2.7609,                 1.3596,                  1.064,                 1.0691,              0.0016911,              0.0016911,              0.0016911
                     80,                 2.1789,                 2.5155,                 1.1381,                0.91555,                0.94815,                0.83333,                0.92227,                0.26248,                0.83019,                0.83333,                0.81144,                0.18744,                 2.4856,                 1.7755,                  1.054,                 1.0061,              0.0016872,              0.0016872,              0.0016872
                     81,                 2.1902,                 2.4401,                 1.0547,                0.92005,                0.85696,                 0.9987,                0.94786,                0.32843,                0.97797,                      1,                  0.995,                0.23139,                 2.3893,                 2.0664,                  1.233,                 1.0018,              0.0016832,              0.0016832,              0.0016832
                     82,                 2.2449,                  2.241,                 1.2025,                0.93438,                0.99307,                      1,                  0.995,                0.31586,                0.99307,                      1,                  0.995,                0.28278,                 2.3725,                 1.6407,                 1.1214,                 1.0226,              0.0016792,              0.0016792,              0.0016792
                     83,                 2.0348,                 2.3645,                 1.1053,                0.92152,                0.82975,                0.83333,                0.89833,                0.32942,                0.65933,                0.66667,                0.53951,                0.20138,                 2.4099,                 1.6193,                 1.0485,                  1.019,              0.0016753,              0.0016753,              0.0016753
                     84,                 2.1391,                 2.5722,                 1.1265,                0.93031,                0.82871,                 0.8102,                0.91333,                0.29682,                0.70112,                0.83333,                0.76986,                0.22532,                 2.5001,                 1.6385,                 1.3469,                 1.0369,              0.0016713,              0.0016713,              0.0016713
                     85,                   2.03,                 2.2477,                 1.0606,                 0.8769,                0.70597,                0.83333,                0.76479,                0.20829,                0.70597,                0.83333,                0.82483,                0.29935,                  2.616,                 1.5184,                 1.4932,                 1.0636,              0.0016674,              0.0016674,              0.0016674
                     86,                 2.0879,                 2.1992,                  1.082,                0.90611,                0.97786,                0.83333,                0.84816,                0.27789,                0.82927,                0.83333,                0.84507,                  0.264,                 2.4634,                 1.8147,                 1.3775,                 1.1009,              0.0016634,              0.0016634,              0.0016634
                     87,                 1.9915,                 2.0556,                 0.9901,                 0.9005,                      1,                0.99163,                  0.995,                0.27002,                      1,                0.99163,                  0.995,                0.35797,                 2.6231,                 1.9056,                 1.2513,                 1.1662,              0.0016594,              0.0016594,              0.0016594
                     88,                 2.0105,                 2.2111,                 1.0501,                0.90613,                0.85117,                0.95816,                0.97214,                0.22019,                0.85117,                0.95816,                0.92357,                0.36066,                 2.8571,                 1.8804,                 1.1686,                 1.1628,              0.0016555,              0.0016555,              0.0016555
                     89,                 2.0787,                 2.2514,                 1.0921,                0.89841,                 0.8525,                 0.9675,                0.97214,                0.24112,                 0.8525,                 0.9675,                0.92357,                0.31323,                 2.6469,                 1.7708,                 1.2346,                 1.0869,              0.0016515,              0.0016515,              0.0016515
                     90,                 2.0128,                 2.0029,                 1.0367,                0.89612,                      1,                0.99779,                  0.995,                0.23932,                0.82972,                0.83333,                 0.7575,                0.24024,                 2.7704,                 1.9412,                 1.1344,                 1.0833,              0.0016476,              0.0016476,              0.0016476
                     91,                 2.0561,                  2.262,                 1.0838,                0.88899,                      1,                0.98793,                  0.995,                0.25356,                0.83173,                0.82533,                0.78491,                0.24787,                 2.5943,                 1.7238,                0.99208,                 1.0923,              0.0016436,              0.0016436,              0.0016436
                     92,                  2.291,                 2.1279,                 1.1345,                0.92744,                      1,                0.99036,                  0.995,                0.32583,                      1,                0.99036,                  0.995,                0.18457,                 2.2057,                 1.7014,                0.89823,                 1.0542,              0.0016396,              0.0016396,              0.0016396
                     93,                 2.1754,                 2.3848,                 1.0281,                0.91825,                      1,                0.98449,                  0.995,                 0.3318,                      1,                0.98449,                  0.995,                0.18341,                 2.3662,                 1.5145,                0.87148,                 1.0707,              0.0016357,              0.0016357,              0.0016357
                     94,                 2.1477,                 2.0479,                  1.044,                0.92746,                0.98774,                      1,                  0.995,                0.37368,                0.65656,                0.66667,                0.57089,                0.21217,                 2.1996,                 1.4732,                0.95561,                   1.07,              0.0016317,              0.0016317,              0.0016317
                     95,                 1.9811,                 2.0137,                0.93791,                0.89784,                0.98809,                      1,                  0.995,                0.32639,                0.65775,                0.66667,                0.47138,                0.15401,                 2.2857,                   1.66,                  1.015,                 1.0501,              0.0016278,              0.0016278,              0.0016278
                     96,                 1.9169,                 2.2026,                 1.0027,                0.90476,                0.98891,                      1,                  0.995,                0.31335,                0.82254,                0.83333,                0.78666,                0.21752,                 2.2906,                 2.0942,                0.97291,                 1.0683,              0.0016238,              0.0016238,              0.0016238
                     97,                 2.0376,                 2.1546,                 1.0524,                0.91323,                0.98508,                      1,                  0.995,                0.36488,                0.98508,                      1,                  0.995,                0.22043,                 2.0971,                 1.9723,                 1.0332,                 1.0616,              0.0016198,              0.0016198,              0.0016198
                     98,                 1.9948,                 2.0111,                 1.0018,                0.89661,                0.84411,                      1,                0.97214,                0.34689,                0.84411,                      1,                0.97214,                0.36784,                 2.1799,                 1.7591,                0.96228,                 1.0155,              0.0016159,              0.0016159,              0.0016159
                     99,                 1.9168,                 1.8263,                0.96623,                0.88752,                0.99021,                      1,                  0.995,                0.33232,                0.99021,                      1,                  0.995,                0.36517,                 2.2264,                 1.5087,                0.99267,                 1.0332,              0.0016119,              0.0016119,              0.0016119
                    100,                 2.0336,                 2.0808,                 1.0233,                0.90226,                0.82137,                0.83333,                 0.8174,                0.19138,                0.98839,                      1,                  0.995,                0.46727,                 2.4791,                 1.5917,                 1.1596,                 1.0772,               0.001608,               0.001608,               0.001608
                    101,                   2.13,                 2.0865,                 1.0186,                 0.8919,                 0.6573,                0.66667,                0.62057,                0.26257,                0.49225,                    0.5,                0.33751,                0.11409,                 2.7073,                  1.978,                 1.1178,                 1.0993,               0.001604,               0.001604,               0.001604
                    102,                 1.9667,                 2.0285,                0.94852,                 0.8881,                0.82167,                0.83333,                0.79876,                0.28986,                0.65587,                0.66667,                0.53652,                0.11681,                  2.503,                 1.3684,                 1.0038,                 1.1004,                 0.0016,                 0.0016,                 0.0016
                    103,                 1.9577,                 2.0993,                0.95156,                 0.8935,                      1,                0.97785,                  0.995,                0.38068,                0.69978,                0.83333,                0.75531,                0.20558,                 2.2426,                 1.4505,                0.87938,                 1.0746,              0.0015961,              0.0015961,              0.0015961
                    104,                 1.9078,                 2.2845,                0.99326,                0.88839,                0.85556,                0.98893,                0.87643,                0.35443,                0.42715,                0.49751,                0.33531,                0.06475,                 2.0522,                 2.2835,                 1.1149,                 1.0437,              0.0015921,              0.0015921,              0.0015921
